edge_index,sample_index,parameter,x_mm,y_mm,z_mm
0,0,-3.955,-79.09999999999998,45.300000000000004,55.300000000000004
0,1,-3.8759,-78.30899999999998,45.300000000000004,55.300000000000004
0,2,-3.7968,-77.51799999999999,45.300000000000004,55.300000000000004
0,3,-3.7177000000000002,-76.72699999999999,45.300000000000004,55.300000000000004
0,4,-3.6386000000000003,-75.93599999999998,45.300000000000004,55.300000000000004
0,5,-3.5595,-75.14499999999998,45.300000000000004,55.300000000000004
0,6,-3.4804000000000004,-74.35399999999998,45.300000000000004,55.300000000000004
0,7,-3.4013,-73.56299999999999,45.300000000000004,55.300000000000004
0,8,-3.3222,-72.77199999999999,45.300000000000004,55.300000000000004
0,9,-3.2431,-71.98099999999998,45.300000000000004,55.300000000000004
0,10,-3.164,-71.18999999999998,45.300000000000004,55.300000000000004
0,11,-3.0849,-70.39899999999999,45.300000000000004,55.300000000000004
0,12,-3.0058000000000002,-69.60799999999999,45.300000000000004,55.300000000000004
0,13,-2.9267000000000003,-68.81699999999998,45.300000000000004,55.300000000000004
0,14,-2.8476,-68.02599999999998,45.300000000000004,55.300000000000004
0,15,-2.7685000000000004,-67.23499999999999,45.300000000000004,55.300000000000004
0,16,-2.6894,-66.44399999999999,45.300000000000004,55.300000000000004
0,17,-2.6103,-65.65299999999999,45.300000000000004,55.300000000000004
0,18,-2.5312,-64.86199999999998,45.300000000000004,55.300000000000004
0,19,-2.4521,-64.07099999999998,45.300000000000004,55.300000000000004
0,20,-2.373,-63.27999999999999,45.300000000000004,55.300000000000004
0,21,-2.2939000000000003,-62.48899999999999,45.300000000000004,55.300000000000004
0,22,-2.2148000000000003,-61.697999999999986,45.300000000000004,55.300000000000004
0,23,-2.1357,-60.90699999999998,45.300000000000004,55.300000000000004
0,24,-2.0566000000000004,-60.115999999999985,45.300000000000004,55.300000000000004
0,25,-1.9775000000000003,-59.32499999999998,45.300000000000004,55.300000000000004
0,26,-1.8984,-58.53399999999999,45.300000000000004,55.300000000000004
0,27,-1.8193000000000001,-57.74299999999998,45.300000000000004,55.300000000000004
0,28,-1.7402000000000002,-56.951999999999984,45.300000000000004,55.300000000000004
0,29,-1.6611000000000002,-56.16099999999999,45.300000000000004,55.300000000000004
0,30,-1.5820000000000003,-55.36999999999999,45.300000000000004,55.300000000000004
0,31,-1.5029000000000003,-54.578999999999986,45.300000000000004,55.300000000000004
0,32,-1.4238000000000004,-53.78799999999998,45.300000000000004,55.300000000000004
0,33,-1.3447,-52.99699999999998,45.300000000000004,55.300000000000004
0,34,-1.2656,-52.20599999999998,45.300000000000004,55.300000000000004
0,35,-1.1865000000000006,-51.41499999999999,45.300000000000004,55.300000000000004
0,36,-1.1074000000000006,-50.62399999999998,45.300000000000004,55.300000000000004
0,37,-1.0283000000000002,-49.832999999999984,45.300000000000004,55.300000000000004
0,38,-0.9492000000000003,-49.04199999999999,45.300000000000004,55.300000000000004
